,ZIP,Warehouse Name,distance_mi,LAT,LNG
327,59868,SLC1,449.66905616843724,47.211792,-113.506003
328,59870,SLC1,408.45399324545394,46.516308,-114.06345
329,59871,SLC1,362.37729092883274,45.870693,-113.819372
330,59872,SLC1,459.29883569939227,47.110018,-114.90092
331,59873,SLC1,501.76029587125964,47.667722,-115.295751
332,59874,SLC1,515.6426741722457,47.799431,-115.62342
333,59875,SLC1,405.3760211977777,46.419841,-114.314609
334,59901,SLC1,526.8062182696127,48.229649,-114.385053
335,59910,SLC1,496.6494901981865,47.794925,-114.294145
336,59911,SLC1,487.41028714540937,47.738548,-113.740936
337,59912,SLC1,536.5301120895435,48.408842,-114.154162
338,59913,SLC1,536.3816591023439,48.432596,-113.960834
339,59914,SLC1,500.7578079389474,47.858197,-114.281831
340,59915,SLC1,501.46663746810117,47.848129,-114.4052
341,59916,SLC1,520.0919648971025,48.25689,-113.382735
342,59917,SLC1,579.5152609646544,48.934673,-114.876678
343,59918,SLC1,568.2003257382686,48.768101,-114.859061
344,59919,SLC1,498.80268689489026,47.958549,-113.23959
345,59920,SLC1,514.1903203180938,48.002764,-114.608268
346,59922,SLC1,509.28240835648444,47.998206,-114.198521
347,59923,SLC1,539.5743295029264,48.225917,-115.391814
348,59925,SLC1,519.7831917534186,48.044415,-114.832615
349,59926,SLC1,531.2100631124455,48.351854,-113.995044
350,59927,SLC1,554.9254905129715,48.594965,-114.712167
351,59928,SLC1,564.375259338707,48.776729,-114.46196
352,59929,SLC1,506.3679265823401,47.927434,-114.369341
353,59930,SLC1,578.1370115443937,48.866732,-115.133187
354,59931,SLC1,503.4149299282742,47.914636,-114.17498
355,59932,SLC1,513.2452234084512,48.057999,-114.192423
356,59933,SLC1,561.4643457356667,48.682382,-114.772578
357,59934,SLC1,557.5046468901492,48.600295,-114.8983
358,59935,SLC1,573.9679837329468,48.649762,-115.834835
359,59936,SLC1,548.3392159159686,48.627171,-113.80733
360,59937,SLC1,540.2554699392533,48.406092,-114.532766
361,79837,LAS1,619.7179715307087,32.233577,-105.286558
362,80002,SLC2,370.6610207907625,39.794822,-105.105292
363,80003,SLC2,372.4612320428743,39.825373,-105.063525
364,80004,SLC2,369.40804881633443,39.817202,-105.123954
365,80005,SLC2,368.60012813410424,39.85165,-105.131418
366,80007,SLC2,365.2867298464528,39.862519,-105.192405
367,80010,SLC2,384.01516191968796,39.739249,-104.862881
368,80011,SLC2,388.2305161336158,39.738764,-104.782159
369,80012,SLC2,385.8548104331045,39.699735,-104.837643
370,80013,SLC2,390.12842815315946,39.661404,-104.765658
371,80014,SLC2,386.32853536938154,39.663559,-104.838066
372,80015,SLC2,389.9117046946293,39.62732,-104.779035
373,80016,SLC2,394.028627332708,39.599458,-104.707606
374,80017,SLC2,388.5980500103638,39.697928,-104.78546
375,80018,SLC2,393.71954972506876,39.688002,-104.68974
376,80019,SLC2,391.79411807007773,39.786982,-104.70217
377,80020,SLC1,370.5541017177831,39.930782,-105.074287
378,80021,SLC1,369.0672256054601,39.890663,-105.113724
379,80022,SLC1,385.56068085252946,39.879646,-104.798722
380,80023,SLC1,373.3228362581663,39.975858,-105.009387
381,80024,SLC2,379.84075339933787,39.843876,-104.917925
382,80025,SLC1,359.55165991374923,39.939848,-105.283942
383,80026,SLC1,368.15836430990964,40.012251,-105.099757
384,80027,SLC1,365.8595609637511,39.950806,-105.159495
385,80030,SLC2,373.7550219969029,39.830822,-105.03747
386,80031,SLC2,373.18371063406806,39.873832,-105.038659
387,80033,SLC2,370.9690452280797,39.772675,-105.104801
388,80045,SLC2,385.1846789587202,39.747872,-104.838305
389,80101,SLC2,433.40237307114035,39.36503,-104.01917
390,80102,SLC2,405.84203007696686,39.74599,-104.442841
391,80103,SLC1,421.0218273191259,39.78001,-104.142596
392,80104,SLC2,392.89342034483644,39.276134,-104.832238
393,80105,SLC2,431.55805755183326,39.667581,-103.969401
394,80106,SLC2,410.8597239282325,39.186147,-104.515915
395,80107,SLC2,403.9876838517456,39.409358,-104.572571
396,80108,SLC2,388.86808387030305,39.44552,-104.853001
397,80109,SLC2,387.7466773933538,39.364264,-104.901376
398,80110,SLC2,377.55976344276013,39.645936,-105.011368
399,80111,SLC2,384.9729410990481,39.613005,-104.877957
400,80112,SLC2,386.5517828828219,39.576926,-104.857826
401,80113,SLC2,379.9869729850768,39.644445,-104.965111
402,80116,SLC2,398.4216771120869,39.320019,-104.709712
403,80117,SLC2,416.54372144044726,39.369612,-104.342901
404,80118,SLC2,390.7199962157514,39.192431,-104.905265
405,80120,SLC2,378.3178941488627,39.593836,-105.01146
406,80121,SLC2,381.3112031258794,39.610714,-104.949039
407,80122,SLC2,381.4576041924623,39.580309,-104.954917
408,80123,SLC2,374.9758685447412,39.61601,-105.069449
409,80124,SLC2,385.49579919167223,39.532889,-104.891089
410,80125,SLC2,377.8993386746737,39.485069,-105.052316
411,80126,SLC2,381.8758991069791,39.540572,-104.958557
412,80127,SLC2,371.3604561260614,39.530726,-105.164344
413,80128,SLC2,375.26343975309993,39.563846,-105.079066
414,80129,SLC2,379.111747735676,39.545535,-105.010351
415,80130,SLC2,383.84857315398625,39.530958,-104.923416
416,80131,SLC2,380.3585341838808,39.47644,-105.007544
417,80132,SLC2,395.5831572643036,39.09941,-104.84653
418,80133,SLC2,388.78039084264316,39.096847,-104.980513
419,80134,SLC2,392.07366776992234,39.485499,-104.778638
420,80135,SLC2,376.5905157430111,39.254744,-105.156973
421,80136,SLC1,413.72317897097304,39.791978,-104.279929
422,80137,SLC2,397.4721443294094,39.770328,-104.597351
423,80138,SLC2,397.16156281513474,39.517532,-104.670911
424,80202,SLC2,376.82508377846335,39.751907,-104.997633
425,80203,SLC2,377.8718332811179,39.731686,-104.98265
426,80204,SLC2,375.86318905424304,39.734837,-105.020395
427,80205,SLC2,378.5494577098446,39.758857,-104.962829
428,80206,SLC2,379.45682469674966,39.730282,-104.952592
429,80207,SLC2,380.9152003344678,39.762298,-104.916613
430,80209,SLC2,379.08880062717174,39.706581,-104.96575
431,80210,SLC2,379.6787849717153,39.676626,-104.962315
432,80211,SLC2,375.47154880802566,39.767444,-105.019736
433,80212,SLC2,373.9372373778991,39.772047,-105.048027
434,80214,SLC2,373.21697140906207,39.743312,-105.069025
435,80215,SLC2,370.751168964248,39.744773,-105.115977
436,80216,SLC2,378.5027525754115,39.788551,-104.956478
437,80218,SLC2,378.5038830170542,39.731085,-104.970674
438,80219,SLC2,375.6055289493744,39.695293,-105.035601
439,80220,SLC2,381.2875226281401,39.733819,-104.91657
440,80221,SLC2,375.3023329576444,39.817067,-105.011035
441,80222,SLC2,381.54847366146276,39.671019,-104.927895
442,80223,SLC2,377.2520994280586,39.695794,-105.003843
443,80224,SLC2,382.17929977259735,39.687746,-104.911338
444,80226,SLC2,372.453869145188,39.712845,-105.091519
445,80227,SLC2,373.19307710400244,39.666287,-105.089746
446,80228,SLC2,368.45084825507826,39.69499,-105.173144
447,80229,SLC2,377.6587990256899,39.855318,-104.957119
448,80230,SLC2,382.84778384277706,39.719464,-104.890279
449,80231,SLC2,383.63000008755296,39.67142,-104.887802
450,80232,SLC2,372.87848332938586,39.686866,-105.090234
451,80233,SLC1,377.610697540851,39.899671,-104.946561
452,80234,SLC1,374.55770727012185,39.909992,-105.002643
453,80235,SLC2,373.4737878195865,39.647607,-105.089482
454,80236,SLC2,376.01094598427017,39.651675,-105.039569
455,80237,SLC2,383.3502413142928,39.639871,-104.901711
456,80238,SLC2,382.5767826614104,39.771649,-104.882471
457,80239,SLC2,384.6676636568076,39.787628,-104.838551
458,80241,SLC1,376.77330425946246,39.929518,-104.954808
459,80246,SLC2,380.92582592959275,39.705197,-104.930842
460,80247,SLC2,383.72896348274776,39.698327,-104.878815
461,80249,SLC1,391.25050699766626,39.854746,-104.695804
462,80260,SLC2,374.9669045888507,39.866918,-105.006059
463,80264,SLC2,377.5818277264563,39.742477,-104.985482
464,80290,SLC2,377.49433257529967,39.744092,-104.986754
465,80293,SLC2,377.3002097300813,39.746253,-104.989935
466,80294,SLC2,377.29305461205587,39.749452,-104.98927
467,80301,SLC1,362.40737496372265,40.049468,-105.201421
468,80302,SLC1,353.5965531018345,40.043465,-105.372324
469,80303,SLC1,362.9748788016473,39.973222,-105.209276
470,80304,SLC1,357.78585384152916,40.045421,-105.291263
471,80305,SLC1,360.92797780939264,39.975334,-105.248158
472,80310,SLC1,359.77084921426814,40.002148,-105.263655
473,80401,SLC2,364.85001441339443,39.718726,-105.236031
474,80403,SLC2,360.0016605116021,39.836967,-105.299574
475,80419,SLC2,366.4479662070255,39.728399,-105.202805
476,80420,SLC2,326.0640733056067,39.324723,-106.116757
477,80421,SLC2,355.1006865318502,39.460932,-105.501199
478,80422,SLC2,347.63241844885846,39.870497,-105.528825
479,80423,SLC2,292.34185692528547,39.884824,-106.586734
480,80424,SLC2,328.96620193562205,39.473301,-106.004254
481,80425,SLC2,372.30748063829617,39.350155,-105.205591
482,80426,SLC2,270.4775349523358,39.912085,-107.000453
483,80427,SLC2,350.53966491985005,39.780281,-105.49496
484,80428,SLC1,266.70497456867776,40.843694,-106.925249
485,80432,SLC2,344.4921797218895,39.222372,-105.796893
486,80433,SLC2,367.15071447246004,39.477721,-105.262386
487,80434,SLC1,300.04912538528225,40.843252,-106.286789
488,80435,SLC2,330.80956734942475,39.573695,-105.934609
489,80436,SLC2,342.97280893388086,39.780974,-105.640117
490,80438,SLC2,335.4656236673384,39.744391,-105.794123
491,80439,SLC2,355.4468593745275,39.634422,-105.440245
492,80440,SLC2,335.54694988907363,39.22892,-105.969828
493,80442,SLC2,328.1805029150313,39.924007,-105.889416
494,80443,SLC2,318.9471008167382,39.556393,-106.170245
495,80444,SLC2,339.7409557895366,39.608406,-105.750988
496,80446,SLC1,322.01009348116236,40.176381,-105.949079
497,80447,SLC1,330.486055401364,40.296598,-105.762357
498,80448,SLC2,348.10926952025727,39.423124,-105.649844
499,80449,SLC2,346.99693213118275,38.976576,-105.856797
500,80451,SLC1,316.496466615927,40.098446,-106.073143
501,80452,SLC2,342.66342651146,39.689403,-105.670783
502,80453,SLC2,365.29770191727494,39.662687,-105.242573
503,80454,SLC2,365.48697337243743,39.630111,-105.248097
504,80455,SLC1,351.6469432002639,40.09497,-105.397691
505,80456,SLC2,357.2417939296154,39.248322,-105.536849
506,80457,SLC2,362.9921445128809,39.64825,-105.290978
507,80459,SLC1,295.71413927811165,40.177204,-106.454609
508,80461,SLC2,318.0540444738708,39.231742,-106.313157
509,80463,SLC2,284.2940739068015,39.970544,-106.720487
510,80465,SLC2,368.0102188954159,39.609101,-105.205545
511,80466,SLC1,345.432299216949,39.974483,-105.546992
512,80467,SLC1,276.08474910430476,40.206871,-106.825671
513,80468,SLC2,315.6834046081726,39.951923,-106.122681
514,80469,SLC1,268.749996189955,40.200081,-106.968565
515,80470,SLC2,365.6506041755428,39.379793,-105.324404
516,80471,SLC1,352.5103255487211,39.935223,-105.420972
517,80473,SLC1,310.0229375107089,40.416393,-106.134369
518,80475,SLC2,351.6332871713676,39.455178,-105.570364
519,80476,SLC2,334.4570551555032,39.670628,-105.834343
520,80477,SLC1,273.1978954557376,40.486391,-106.829354
521,80478,SLC1,328.835358269051,40.029019,-105.852772
522,80479,SLC2,278.6335474160514,40.035912,-106.814497
523,80480,SLC1,297.64592370805906,40.672888,-106.341566
524,80481,SLC1,342.25514529323397,40.101411,-105.576764
525,80482,SLC2,333.9008613786878,39.897522,-105.785797
526,80483,SLC2,271.69167619445733,40.091798,-106.93598
527,80487,SLC1,271.7420113939603,40.540952,-106.850132
528,80488,SLC1,274.06664043687465,40.448703,-106.818184
529,80497,SLC2,325.8665665228044,39.670756,-106.000064
530,80498,SLC2,310.7015870470712,39.746631,-106.27053
531,80501,SLC1,366.19192563564536,40.164837,-105.103179
532,80503,SLC1,360.56026154356607,40.169014,-105.210376
533,80504,SLC1,370.0171875938166,40.163388,-105.030087
534,80510,SLC1,339.4372247330439,40.212495,-105.606827
535,80511,SLC1,340.0120581678202,40.340181,-105.572189
536,80512,SLC1,337.95294533551055,40.631157,-105.574043
537,80513,SLC1,364.84750054077637,40.29738,-105.103753
538,80514,SLC1,375.0058831101206,40.065847,-104.955479
539,80515,SLC1,348.9680626644633,40.462346,-105.382303
540,80516,SLC1,371.42764573037056,40.051112,-105.027632
541,80517,SLC1,338.8944969089129,40.384744,-105.586376
542,80520,SLC1,375.71131884717477,40.113099,-104.931431
543,80521,SLC1,361.48343512124626,40.594597,-105.127416
544,80524,SLC1,366.345753453054,40.646857,-105.029513
545,80525,SLC1,366.5946512050213,40.529861,-105.036641
546,80526,SLC1,361.0907216795572,40.518836,-105.143224
547,80528,SLC1,368.4893866438731,40.494596,-105.004639
548,80530,SLC1,375.99739325501065,40.097792,-104.929279
549,80532,SLC1,344.32159728634196,40.493095,-105.467197
550,80534,SLC1,373.22650610246166,40.331863,-104.937467
551,80535,SLC1,357.9365436736832,40.732954,-105.183846
552,80536,SLC1,347.9295809265743,40.868337,-105.369065
553,80537,SLC1,360.46886251245496,40.363199,-105.176682
554,80538,SLC1,366.3291201369951,40.457521,-105.050761
555,80540,SLC1,351.8285885433601,40.235694,-105.364549
556,80542,SLC1,370.8824842245796,40.235081,-104.999386
557,80543,SLC1,377.2557621545005,40.349679,-104.857452
558,80544,SLC1,363.34072853245965,40.103412,-105.171093
559,80545,SLC1,333.89677107140363,40.874586,-105.637727
560,80546,SLC1,376.39558392068216,40.525242,-104.849696
561,80547,SLC1,370.3403957909833,40.52663,-104.965364
562,80549,SLC1,364.9087011145892,40.857579,-105.04415
563,80550,SLC1,373.9730193382432,40.484657,-104.900983
564,80601,SLC1,383.9783220343402,39.962027,-104.807809
565,80602,SLC1,378.67807569994983,39.966363,-104.908709
566,80603,SLC1,387.39567403549125,39.982211,-104.737094
567,80610,SLC1,389.1307536255082,40.673769,-104.591319
568,80611,SLC1,405.25705588734496,40.624982,-104.287097
569,80612,SLC1,374.8830739437879,40.872141,-104.852569
570,80615,SLC1,386.9380039327182,40.545658,-104.645698
571,80620,SLC1,384.3726724794215,40.373756,-104.717482
572,80621,SLC1,382.55758792922757,40.107239,-104.80129
573,80622,SLC1,396.66961047312685,40.538013,-104.460409
574,80623,SLC1,381.72701939196634,40.285379,-104.782532
575,80624,SLC1,394.98260774550516,40.486784,-104.498802
576,80631,SLC1,386.17296863916783,40.442868,-104.673072
577,80634,SLC1,380.20066584199753,40.403315,-104.792917
578,80640,SLC1,381.18317865467014,39.887453,-104.880987
579,80642,SLC1,393.05296835953084,40.051416,-104.612139
580,80643,SLC1,398.76246935615194,40.112932,-104.489163
581,80644,SLC1,399.254919284077,40.42828,-104.42479
582,80645,SLC1,387.31324437709554,40.330728,-104.667961
583,80648,SLC1,381.00353452481727,40.755864,-104.740919
584,80649,SLC1,411.94933339889053,40.400836,-104.185793
585,80650,SLC1,376.9036258451629,40.621518,-104.829835
586,80651,SLC1,380.7314476063581,40.241735,-104.80941
587,80652,SLC1,409.64507622781946,40.138877,-104.275149
588,80653,SLC1,422.82084737005516,40.423342,-103.974634
589,80654,SLC1,420.5918078253895,40.138103,-104.065491
590,80701,SLC1,430.4784466218971,40.165309,-103.870735
591,80705,SLC1,431.629620929343,40.270499,-103.829653
592,80720,SLC1,465.35433059300703,40.078252,-103.219881
593,80721,SLC1,516.4094557484793,40.689612,-102.1539
594,80722,SLC1,459.0068282097282,40.506613,-103.271661
595,80723,SLC1,447.29527343998507,40.193773,-103.543331
596,80726,SLC1,482.2648421636715,40.905042,-102.793047
597,80727,SLC1,502.394261508777,40.075829,-102.510988
598,80728,SLC1,479.0161918138029,40.644866,-102.873872
599,80729,SLC1,405.30039135919895,40.884243,-104.269296
600,80731,SLC1,493.5762963844952,40.59445,-102.600328
601,80733,SLC1,450.6057579489026,40.371386,-103.450535
602,80734,SLC1,510.1350813975306,40.519891,-102.291952
603,80735,SLC1,519.2010085184543,39.709824,-102.273164
604,80736,SLC1,470.3138494663754,40.811815,-103.027237
605,80737,SLC1,514.4226849633989,40.87614,-102.177979
606,80740,SLC1,461.25057419534664,39.725661,-103.382898
607,80741,SLC1,447.91181971572826,40.567222,-103.476943
608,80742,SLC1,428.32665845423537,40.755781,-103.835012
609,80743,SLC1,478.0108940930279,40.197118,-102.954746
610,80744,SLC1,503.2689861781416,40.873626,-102.391968
611,80745,SLC1,449.9753044975889,40.895496,-103.412556
612,80746,SLC1,500.51722187475156,40.609603,-102.465912
613,80747,SLC1,466.8981284779067,40.942361,-103.086174
614,80749,SLC1,495.1871019231038,40.867058,-102.547276
615,80750,SLC1,442.2135407833241,40.414765,-103.604846
616,80751,SLC1,460.3210575921374,40.63688,-103.232406
617,80754,SLC1,437.31152735984386,40.721755,-103.665469
618,80755,SLC1,512.8860569617738,39.911897,-102.344974
619,80757,SLC1,449.92803549692763,39.791027,-103.58313
620,80758,SLC1,518.366370027882,40.138836,-102.193094
621,80759,SLC1,492.6508402139613,40.135241,-102.685959
622,80801,SLC1,475.79677289708576,39.73228,-103.101271
623,80802,SLC2,538.3372270854709,38.836946,-102.173384
624,80804,SLC2,473.7488289327283,39.34684,-103.248069
625,80805,SLC2,515.6323601611588,39.305959,-102.455614
626,80807,SLC2,527.5063065431376,39.321667,-102.223231
627,80808,SLC2,425.76036083304916,38.981599,-104.304401
628,80809,SLC2,392.74570693841207,38.852057,-105.00856
629,80810,SLC2,525.4263808569444,38.822287,-102.428708
